2024_RANK,2023_RANK,Institution_Name,Location,Location.1,SIZE,FOCUS,RES.,STATUS,AR_SCORE,AR_RANK,ER_SCORE,ER_RANK,FS_SCORE,FS_RANK,CF_SCORE,CF_RANK,IF_SCORE,IF_RANK,IS_SCORE,IS_RANK,IRN_SCORE,IRN_RANK,EO_SCORE,EO_RANK,S_Score,S_Rank,OVERALL_SCORE,2023_RANK_ORIGINAL,2024_RANK_ORIGINAL,Is_Rank_Range
84,91,University of Birmingham,UK,United Kingdom,XL,FC,VH,A,67.5,99,75.7,81,41.3,379,38.2,364,92.3,169,83.9,148,96,41,29.5,270,80.4,146=,63,91,84,FALSE
85,95,Lund University,SE,Sweden,L,FC,VH,A,69.3,93,47.5,185,50.2,310,37.7,373,98.8,102,77.4,173,95.2,52,66,83,99.1,14,62.8,95,85,FALSE
85,115,Universidade de São Paulo,BR,Brazil,XL,FC,VH,A,92.4,41,82.9,66,19.2,688,29.9,434,6,701+,2.3,701+,90.9,76,89.7,36,96.1,44=,62.8,115,85,FALSE
87,75,Lomonosov Moscow State University,RU,Russia,XL,FC,VH,A,81.2,69,78.3,74,99.8,26,4.6,701+,20.3,587,92.3,105,85.2,115,82.2,48,13.4,631=,62.2,75,87,FALSE
87,65,Ruprecht-Karls-Universität Heidelberg,DE,Germany,L,FO,VH,A,78.3,75,52,156,99.7,29,38.2,365,52.5,349,50.4,290,89.7,88,19.8,423,42.6,345=,62.2,65,87,FALSE
89,109,The University of Adelaide,AU,Australia,L,FC,VH,A,54.2,144,36.5,267,16.2,701+,87.1,83,100,69,99.6,40,78.8,154,38.4,191,96.3,42,62,109,89,FALSE
90,137,University of Technology Sydney,AU,Australia,L,CO,VH,A,43.4,195,57.8,143,9,701+,95.3,52,96.6,132,93.6,95,79.7,146,30.1,260,93.1,72,61.8,137,90,FALSE
91,55,Tokyo Institute of Technology (Tokyo Tech),JP,Japan,M,CO,VH,A,74.4,79,94.8,39,84.4,109,53,244,31.8,475,31.7,404,8.9,701+,19.7,425,18,567=,61.6,55,91,FALSE
91,83,University of Zurich,CH,Switzerland,L,FC,VH,A,59.1,126,27.6,352,89.9,88,52,248,100,60,53,274,87.2,100,75.2,58,80.2,149,61.6,83,91,FALSE
93,108,Boston University,US,United States,L,FC,VH,B,61.7,113,68.3,109,32.7,485,60.1,204,21.6,576,87.5,132,72.6,187,68.6,76,85.9,113=,61.4,108,93,FALSE
93,104,Universidad Nacional Autónoma de México (UNAM),MX,Mexico,XL,FC,VH,A,96.6,28,98.2,18,39.8,397,2.7,701+,8.3,701+,2.5,701+,84.5,120,68.4,78,88.5,101=,61.4,104,93,FALSE
95,67,Universidad de Buenos Aires (UBA),AR,Argentina,XL,FC,VH,A,93.3,36,98,20,73.5,170,1.7,701+,62.6,309,66.7,224,28.1,470,26.2,311,18.8,555=,61,67,95,FALSE
95,96,University of St Andrews,UK,United Kingdom,M,FO,VH,A,47.3,173,67.2,114,64.9,212,57.7,223,98.7,103,100,29,51.1,306,22.4,370,92.1,77=,61,96,95,FALSE
97,88,Georgia Institute of Technology,US,United States,L,CO,VH,A,67.4,100,85.1,59,15.3,701+,67.1,163,38.8,417,65.4,230,33.2,432,41.7,175,70.4,201=,60.9,88,97,FALSE
98,118,Freie Universitaet Berlin,DE,Germany,L,FC,VH,A,80.8,70,51,163,4.4,701+,71.4,141,62.8,308,43.6,332,84.9,118,21.9,378,60.1,251,60.8,118,98,FALSE
99,129,Purdue University,US,United States,XL,FC,VH,A,63.9,108,81.2,71,10.3,701+,68.4,155,41.5,398,45.8,317,75.4,170,53.4,117,67.4,215=,60.7,129,99,FALSE
100,71,Pohang University of Science And Technology (POSTECH),KR,South Korea,S,FO,VH,B,51.6,153,75.9,79,99.9,21,98.3,29,33.8,464,2.6,701+,1.3,701+,13.4,637,16.9,581=,60.4,71,100,FALSE
100,114,University of Nottingham,UK,United Kingdom,XL,FC,VH,A,60.7,116,72.1,96,32.2,492,46.5,290,90,183,75.2,185,98.4,18,24.4,342,80,150=,60.4,114,100,FALSE
